,VTI_value,VTI_5_days_ago,pct_change_5d,TPM_value,TPM_var,TDES_value,TDES_var,IPC_value,IPC_var,PIB_value,PIB_var,BC_value,BC_var
2022-11-08,,,,3.83,0.0,3.5766666666666667,-0.093,298689.4666666667,0.004,26750347.347826086,0.015,-65583.86666666667,0.386
2022-11-09,187.53,,,3.83,0.0,3.5733333333333333,-0.093,298702.5333333333,0.004,26754461.804347824,0.015,-65836.13333333333,0.385
2022-11-10,198.14,,,3.83,0.0,3.5700000000000003,-0.093,298715.6,0.004,26758576.260869566,0.015,-66088.4,0.383
2022-11-11,200.16,,,3.83,0.0,3.566666666666667,-0.093,298728.6666666667,0.004,26762690.717391305,0.015,-66340.66666666667,0.382
2022-11-12,,,,3.83,0.0,3.5633333333333335,-0.093,298741.73333333334,0.004,26766805.173913043,0.015,-66592.93333333333,0.38
2022-11-13,,,,3.83,0.0,3.56,-0.094,298754.8,0.004,26770919.63043478,0.015,-66845.2,0.379
2022-11-14,198.35,,,3.83,0.0,3.5566666666666666,-0.094,298767.86666666664,0.004,26775034.086956523,0.015,-67097.46666666666,0.377
2022-11-15,200.36,,,3.83,0.0,3.5533333333333332,-0.094,298780.93333333335,0.004,26779148.54347826,0.015,-67349.73333333334,0.376
2022-11-16,198.32,187.53,,3.83,0.0,3.5500000000000003,-0.094,298794.0,0.004,26783263.0,0.015,-67602.0,0.375
2022-11-17,197.49,198.14,,3.83,0.0,3.546666666666667,-0.094,298807.06666666665,0.004,26787377.45652174,0.015,-67854.26666666666,0.373
2022-11-18,198.42,200.16,,3.83,0.0,3.5433333333333334,-0.094,298820.13333333336,0.004,26791491.913043477,0.015,-68106.53333333334,0.372
2022-11-19,,,,3.83,0.0,3.54,-0.094,298833.2,0.004,26795606.36956522,0.015,-68358.8,0.37
2022-11-20,,,,3.83,0.0,3.5366666666666666,-0.094,298846.26666666666,0.004,26799720.826086957,0.015,-68611.06666666667,0.369
2022-11-21,197.58,198.35,,3.83,0.0,3.533333333333333,-0.094,298859.3333333333,0.004,26803835.282608695,0.015,-68863.33333333333,0.368
