,date,value,name,var_value
0,1939-01-01,,PIB,
1,1939-04-01,,PIB,
2,1939-07-01,,PIB,
3,1939-10-01,,PIB,
4,1940-01-01,,PIB,
5,1940-04-01,,PIB,
6,1940-07-01,,PIB,
7,1940-10-01,,PIB,
8,1941-01-01,,PIB,
9,1941-04-01,,PIB,
10,1941-07-01,,PIB,
11,1941-10-01,,PIB,
12,1942-01-01,,PIB,
13,1942-04-01,,PIB,
14,1942-07-01,,PIB,
15,1942-10-01,,PIB,
16,1943-01-01,,PIB,
17,1943-04-01,,PIB,
18,1943-07-01,,PIB,
19,1943-10-01,,PIB,
20,1944-01-01,,PIB,
21,1944-04-01,,PIB,
22,1944-07-01,,PIB,
23,1944-10-01,,PIB,
24,1945-01-01,,PIB,
25,1945-04-01,,PIB,
26,1945-07-01,,PIB,
27,1945-10-01,,PIB,
28,1946-01-01,,PIB,
29,1946-04-01,,PIB,
30,1946-07-01,,PIB,
31,1946-10-01,,PIB,
32,1947-01-01,244142.0,PIB,
33,1947-04-01,247063.0,PIB,1.1964348616788634
34,1947-07-01,250716.0,PIB,1.4785702432173142
35,1947-10-01,260981.0,PIB,4.094273999266096
36,1948-01-01,267133.0,PIB,2.357259723887939
37,1948-04-01,274046.0,PIB,2.5878494981900424
38,1948-07-01,280679.0,PIB,2.4203965757573442
39,1948-10-01,281837.0,PIB,0.41257094403215344
40,1949-01-01,276420.0,PIB,-1.9220329481224985
41,1949-04-01,272680.0,PIB,-1.3530135301353052
42,1949-07-01,274162.0,PIB,0.5434942056623093
43,1949-10-01,271760.0,PIB,-0.8761243352470416
44,1950-01-01,282056.0,PIB,3.78863703267589
45,1950-04-01,291699.0,PIB,3.4188246305698167
46,1950-07-01,309760.0,PIB,6.191656467797291
47,1950-10-01,321554.0,PIB,3.8074638429752117
48,1951-01-01,337537.0,PIB,4.97054927010705
49,1951-04-01,345973.0,PIB,2.4992815602437712
50,1951-07-01,353381.0,PIB,2.1412075508782547
51,1951-10-01,358330.0,PIB,1.4004714458332401
52,1952-01-01,361821.0,PIB,0.9742416208522897
53,1952-04-01,363049.0,PIB,0.3393943414008671
54,1952-07-01,369683.0,PIB,1.827301548826732
